Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Country,Processing Method,Processing Simple,Category One Defects,Category Two Defects,Cluster,Cluster Name
7.42,7.25,7.25,7.42,7.17,7.33,7.33,Colombia,Washed / Wet,Washed,0,2,1,Below Average
7.42,7.42,7.25,7.25,7.17,7.25,7.25,Brazil,Natural / Dry,Natural,0,1,1,Below Average
7.42,7.33,7.33,7.5,7.08,7.0,7.17,El Salvador,Natural / Dry,Natural,0,7,1,Below Average
7.25,7.25,7.17,7.33,7.08,7.25,7.17,Nicaragua,Washed / Wet,Washed,0,3,1,Below Average
7.42,7.17,7.0,7.08,7.42,7.17,7.17,Nicaragua,Washed / Wet,Washed,0,5,1,Below Average
7.25,7.25,7.17,7.33,7.0,7.17,7.25,Colombia,Washed / Wet,Washed,0,3,1,Below Average
7.5,7.25,7.17,7.17,7.17,7.08,7.0,Peru,Washed / Wet,Washed,0,11,1,Below Average
7.08,7.25,7.08,7.42,7.42,7.08,7.0,El Salvador,Natural / Dry,Natural,0,7,1,Below Average
7.25,7.17,7.17,7.08,7.17,7.17,7.17,Brazil,Natural / Dry,Natural,0,2,1,Below Average
7.17,7.17,6.92,7.17,7.42,7.17,7.08,Brazil,Natural / Dry,Natural,0,4,1,Below Average
7.33,7.08,6.75,7.17,7.42,7.17,7.08,Nicaragua,Natural / Dry,Natural,0,12,1,Below Average
7.25,7.17,7.08,7.0,7.08,7.08,7.0,Laos,Washed / Wet,Washed,0,11,1,Below Average
6.5,6.75,6.75,7.17,7.08,7.0,6.83,El Salvador,Natural / Dry,Natural,0,13,1,Below Average
7.25,7.08,6.67,6.83,6.83,6.67,6.67,Brazil,SEMI-LAVADO,Washed,0,1,1,Below Average
